q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff
0.75,10,"(28, 28)",0.0014260138716967108,1e-06,logarithmic,4,montecarlo,local,0.815561224489796,0.07110943648713368,0.6093537414965984,-11.142857142857139
0.75,10,"(28, 28)",0.0014260138716967108,1.778279410038923e-06,exponential,4,montecarlo,local,0.8229591836734693,0.061755773092109216,0.6093537414965984,-9.484693877551024
0.75,10,"(28, 28)",0.0014260138716967108,1.778279410038923e-06,classic,4,montecarlo,local,0.8346938775510203,0.06342557054335828,0.6093537414965984,-11.209183673469369
0.75,10,"(28, 28)",0.0014260138716967108,1.778279410038923e-06,logarithmic,4,montecarlo,local,0.8252551020408163,0.04884721162255454,0.6093537414965984,-9.448979591836718
0.75,10,"(28, 28)",0.0014260138716967108,3.162277660168379e-06,exponential,4,montecarlo,local,0.8318877551020408,0.06408547125510719,0.6093537414965984,-13.811224489795933
0.75,10,"(28, 28)",0.0014260138716967108,3.162277660168379e-06,classic,4,montecarlo,local,0.8346938775510203,0.06342557054335828,0.6093537414965984,-11.209183673469369
0.75,10,"(28, 28)",0.0014260138716967108,3.162277660168379e-06,logarithmic,4,montecarlo,local,0.8224489795918368,0.05040702717054038,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,5.623413251903491e-06,exponential,4,montecarlo,local,0.8278061224489797,0.05544876270303777,0.6093537414965984,-11.209183673469369
0.75,10,"(28, 28)",0.0014260138716967108,5.623413251903491e-06,classic,4,montecarlo,local,0.8346938775510203,0.06342557054335828,0.6093537414965984,-11.209183673469369
0.75,10,"(28, 28)",0.0014260138716967108,5.623413251903491e-06,logarithmic,4,montecarlo,local,0.8346938775510203,0.06342557054335828,0.6093537414965984,-11.209183673469369
0.75,10,"(28, 28)",0.0014260138716967108,1e-05,exponential,4,montecarlo,local,0.8433673469387755,0.06946274459231636,0.6093537414965984,-11.857142857142861
0.75,10,"(28, 28)",0.0014260138716967108,1e-05,classic,4,montecarlo,local,0.8244897959183675,0.07804454937275998,0.6093537414965984,-11.061224489795904
0.75,10,"(28, 28)",0.0014260138716967108,1e-05,logarithmic,4,montecarlo,local,0.8433673469387755,0.06946274459231636,0.6093537414965984,-11.857142857142861
0.75,10,"(28, 28)",0.0014260138716967108,1.778279410038923e-05,exponential,4,montecarlo,local,0.8252551020408163,0.04884721162255454,0.6093537414965984,-9.448979591836718
0.75,10,"(28, 28)",0.0014260138716967108,1.778279410038923e-05,classic,4,montecarlo,local,0.8364795918367347,0.043643329529396535,0.6093537414965984,-10.525510204081627
0.75,10,"(28, 28)",0.0014260138716967108,1.778279410038923e-05,logarithmic,4,montecarlo,local,0.8443877551020407,0.04784778638792052,0.6093537414965984,-11.142857142857139
0.75,10,"(28, 28)",0.0014260138716967108,3.1622776601683795e-05,exponential,4,montecarlo,local,0.8433673469387755,0.06946274459231636,0.6093537414965984,-11.857142857142861
0.75,10,"(28, 28)",0.0014260138716967108,3.1622776601683795e-05,classic,4,montecarlo,local,0.8433673469387755,0.06946274459231636,0.6093537414965984,-11.857142857142861
0.75,10,"(28, 28)",0.0014260138716967108,3.1622776601683795e-05,logarithmic,4,montecarlo,local,0.8410714285714287,0.06267468300049732,0.6093537414965984,-11.428571428571416
0.75,10,"(28, 28)",0.0014260138716967108,5.623413251903491e-05,exponential,4,montecarlo,local,0.8410714285714287,0.06267468300049732,0.6093537414965984,-11.428571428571416
0.75,10,"(28, 28)",0.0014260138716967108,5.623413251903491e-05,classic,4,montecarlo,local,0.8252551020408163,0.05603251142440829,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,5.623413251903491e-05,logarithmic,4,montecarlo,local,0.8224489795918368,0.04892641671321164,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,0.0001,exponential,4,montecarlo,local,0.8252551020408164,0.06898376164790797,0.6093537414965984,-14.158163265306115
0.75,10,"(28, 28)",0.0014260138716967108,0.0001,classic,4,montecarlo,local,0.8244897959183675,0.07804454937275998,0.6093537414965984,-11.061224489795904
0.75,10,"(28, 28)",0.0014260138716967108,0.0001,logarithmic,4,montecarlo,local,0.8410714285714287,0.06267468300049732,0.6093537414965984,-11.428571428571416
0.75,10,"(28, 28)",0.0014260138716967108,0.00017782794100389227,exponential,4,montecarlo,local,0.8410714285714287,0.06267468300049732,0.6093537414965984,-11.428571428571416
0.75,10,"(28, 28)",0.0014260138716967108,0.00017782794100389227,classic,4,montecarlo,local,0.8318877551020408,0.06666368390175871,0.6093537414965984,-12.076530612244909
