q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff
0.75,10,"(10, 10)",0.0014260138716967108,3.1622776601683795e-05,logarithmic,,montecarlo,turkey,0.7125,0.12926929369167756,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,5.623413251903491e-05,exponential,,montecarlo,turkey,0.7127551020408164,0.12848231443613348,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,5.623413251903491e-05,classic,,montecarlo,turkey,0.7125,0.12926929369167756,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,5.623413251903491e-05,logarithmic,,montecarlo,turkey,0.7114795918367347,0.12970352129402002,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,0.0001,exponential,,montecarlo,turkey,0.7125,0.12926929369167756,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,0.0001,classic,,montecarlo,turkey,0.7127551020408164,0.12848231443613348,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,0.0001,logarithmic,,montecarlo,turkey,0.7127551020408164,0.12848231443613348,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,0.00017782794100389227,exponential,,montecarlo,turkey,0.7127551020408164,0.12848231443613348,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,0.00017782794100389227,classic,,montecarlo,turkey,0.7130102040816326,0.12946648485113224,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,0.00017782794100389227,logarithmic,,montecarlo,turkey,0.7125,0.12927936174654614,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,0.00031622776601683794,exponential,,montecarlo,turkey,0.7125,0.12927936174654614,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,0.00031622776601683794,classic,,montecarlo,turkey,0.7127551020408163,0.12824403570813941,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,0.00031622776601683794,logarithmic,,montecarlo,turkey,0.7130102040816326,0.12946648485113224,0.6093537414965984,-24.49190113940469
